id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;desc_nomof;geojson
16510;9019;IRIGOYEN, BERNARDO de;1502;1600;1501;1599;DEL BUEN ORDEN;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37849,-34.62749],[-58.37861,-34.62716],[-58.37901,-34.62608]]]}"
16511;3159;CONSTITUCION;3202;3250;3201;3249;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41104,-34.62752],[-58.41009,-34.62745]]]}"
16523;3159;CONSTITUCION;3252;3300;3251;3299;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41193,-34.62759],[-58.41104,-34.62752]]]}"
16541;3100;CATAMARCA;1402;1500;1401;1499;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40288,-34.62659],[-58.40265,-34.62762]]]}"
16553;7026;GARAY, JUAN DE AV.;2002;2100;2001;2099;GARAY - BRASIL;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39321,-34.62745],[-58.39429,-34.62764]]]}"
16554;19035;RINCON;1502;1600;1501;1599;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39443,-34.62668],[-58.39429,-34.62764]]]}"
16558;3242;CABOTO;302;400;301;399;GABOTO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36068,-34.62762],[-58.36142,-34.62714]]]}"
16567;3159;CONSTITUCION;3302;3400;3301;3399;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41335,-34.62769],[-58.41319,-34.62768],[-58.41193,-34.62759]]]}"
16568;12114;LINIERS VIRREY;1302;1400;1301;1399;LINIERS;CALLE;corrección numeración 17-1;Ciclovías;Mano izquierda;Calle;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41335,-34.62769],[-58.41336,-34.62756],[-58.41344,-34.62667]]]}"
16582;21045;TREINTA Y TRES ORIENTALES;1052;1100;1051;1099;TREINTA Y TRES;CALLE;corrección numeración 17-1;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42268,-34.6271],[-58.42253,-34.62774]]]}"
16595;2111;BRASIL;1002;1100;1001;1099;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37961,-34.62778],[-58.37849,-34.62749]]]}"
